Muestra,plot,site,code,type,sampling_point,weight_mg,N_perc,d15N_permil_air,obs,,,,,,,,,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average
SF-7-PAST_P2,SF_7_PAST,SF,7,PAST,P2,26.01,0.19,3,NA,,,,,,,,,,,,,,,,,,,,
SF-7-PAST_P3,SF_7_PAST,SF,7,PAST,P3,25.58,0.44,1,NA,,,,,,,,,,,,,,,,,,,,
SF-7-PAST_P4,SF_7_PAST,SF,7,PAST,P4,23.41,0.2,1.9,NA,,,,,,,,,,,,,,,,,,,,
SF-7-PAST_P5,SF_7_PAST,SF,7,PAST,P5,24.47,0.15,2.4,NA,,,,,,,,,,,,,,,,,,,,
SF-8-LONG_P1,SF_8_LONG,SF,8,LONG,P1,24.02,0.2,1.7,NA,,,,,,,,,,,,,,,,,,,,
SF-8-LONG_P2,SF_8_LONG,SF,8,LONG,P2,25.89,0.24,1.8,NA,,,,,,,,,,,,,,,,,,,,
SF-8-LONG_P3,SF_8_LONG,SF,8,LONG,P3,24,0.08,2.8,soil particles in well,,,,,,,,,,,,,,,,,,,,
SF-8-LONG_P4,SF_8_LONG,SF,8,LONG,P4,23.96,0.06,3.3,NA,,,,,,,,,,,,,,,,,,,,
SF-8-LONG_P5,SF_8_LONG,SF,8,LONG,P5,24.56,0.1,2.7,NA,,,,,,,,,,,,,,,,,,,,
SF-9-PAST_P1,SF_9_PAST,SF,9,PAST,P1,24.08,0.26,2.8,NA,,,,,,,,,,,,,,,,,,,,
SF-9-PAST_P2,SF_9_PAST,SF,9,PAST,P2,25.2,0.39,2.4,NA,,,,,,,,,,,,,,,,,,,,
SF-9-PAST_P3,SF_9_PAST,SF,9,PAST,P3,24.3,0.38,2.2,NA,,,,,,,,,,,,,,,,,,,,
SF-9-PAST_P4,SF_9_PAST,SF,9,PAST,P4,25.71,0.28,2.6,NA,,,,,,,,,,,,,,,,,,,,
SF-9-PAST_P5,SF_9_PAST,SF,9,PAST,P5,23,0.17,1.6,NA,,,,,,,,,,,,,,,,,,,,
